2025-09-17 11:42:08,469 - === ALL LAYERS MoE Analysis Started ===
2025-09-17 11:42:08,477 - Loading model and tokenizer...
2025-09-17 11:42:42,768 - 
Prompt 1: An astronomer observes that a planet rotates faster after a meteorite impact. Which is the most likely effect of this increase in rotation?
Planetary days will become shorter.
2025-09-17 11:42:42,787 - Input tokens: 42
2025-09-17 11:42:42,787 - 
=== MoE Routing Analysis for English - Prompt 1 ===
2025-09-17 11:42:44,469 - Analyzing ALL 48 MoE layers
2025-09-17 11:42:44,496 - Layer  0: Entropy=4.3125, Variance=0.000287, Gini=0.8326, MaxUsage=0.071, ActiveExperts=28
2025-09-17 11:42:44,497 - Layer  1: Entropy=4.2812, Variance=0.000376, Gini=0.8534, MaxUsage=0.119, ActiveExperts=26
2025-09-17 11:42:44,498 - Layer  2: Entropy=4.0625, Variance=0.000733, Gini=0.8962, MaxUsage=0.262, ActiveExperts=21
2025-09-17 11:42:44,498 - Layer  3: Entropy=4.0312, Variance=0.000447, Gini=0.8869, MaxUsage=0.119, ActiveExperts=21
2025-09-17 11:42:44,499 - Layer  4: Entropy=4.0938, Variance=0.000572, Gini=0.8850, MaxUsage=0.167, ActiveExperts=23
2025-09-17 11:42:44,500 - Layer  5: Entropy=4.1562, Variance=0.000403, Gini=0.8508, MaxUsage=0.167, ActiveExperts=26
2025-09-17 11:42:44,500 - Layer  6: Entropy=4.1562, Variance=0.001358, Gini=0.9568, MaxUsage=0.286, ActiveExperts=11
2025-09-17 11:42:44,501 - Layer  7: Entropy=3.9844, Variance=0.001840, Gini=0.9613, MaxUsage=0.429, ActiveExperts=11
2025-09-17 11:42:44,502 - Layer  8: Entropy=4.0000, Variance=0.000465, Gini=0.8884, MaxUsage=0.143, ActiveExperts=20
2025-09-17 11:42:44,502 - Layer  9: Entropy=4.0312, Variance=0.000608, Gini=0.9141, MaxUsage=0.143, ActiveExperts=17
2025-09-17 11:42:44,503 - Layer 10: Entropy=4.0312, Variance=0.000412, Gini=0.8817, MaxUsage=0.095, ActiveExperts=20
2025-09-17 11:42:44,504 - Layer 11: Entropy=3.9844, Variance=0.000546, Gini=0.8973, MaxUsage=0.167, ActiveExperts=20
2025-09-17 11:42:44,504 - Layer 12: Entropy=3.9375, Variance=0.000751, Gini=0.9137, MaxUsage=0.214, ActiveExperts=19
2025-09-17 11:42:44,505 - Layer 13: Entropy=3.8281, Variance=0.000269, Gini=0.8266, MaxUsage=0.071, ActiveExperts=28
2025-09-17 11:42:44,505 - Layer 14: Entropy=3.9219, Variance=0.000608, Gini=0.8973, MaxUsage=0.190, ActiveExperts=21
2025-09-17 11:42:44,506 - Layer 15: Entropy=3.8750, Variance=0.001197, Gini=0.9286, MaxUsage=0.357, ActiveExperts=16
2025-09-17 11:42:44,507 - Layer 16: Entropy=3.7500, Variance=0.001751, Gini=0.9390, MaxUsage=0.452, ActiveExperts=16
2025-09-17 11:42:44,507 - Layer 17: Entropy=3.8906, Variance=0.000421, Gini=0.8765, MaxUsage=0.119, ActiveExperts=23
2025-09-17 11:42:44,508 - Layer 18: Entropy=4.0000, Variance=0.000974, Gini=0.9382, MaxUsage=0.238, ActiveExperts=14
2025-09-17 11:42:44,509 - Layer 19: Entropy=3.7969, Variance=0.002126, Gini=0.9680, MaxUsage=0.476, ActiveExperts=8
2025-09-17 11:42:44,509 - Layer 20: Entropy=3.7812, Variance=0.001492, Gini=0.9423, MaxUsage=0.405, ActiveExperts=14
2025-09-17 11:42:44,510 - Layer 21: Entropy=3.8594, Variance=0.000804, Gini=0.9312, MaxUsage=0.190, ActiveExperts=15
2025-09-17 11:42:44,511 - Layer 22: Entropy=3.8438, Variance=0.000546, Gini=0.9036, MaxUsage=0.143, ActiveExperts=19
2025-09-17 11:42:44,511 - Layer 23: Entropy=3.6719, Variance=0.000697, Gini=0.9141, MaxUsage=0.190, ActiveExperts=18
2025-09-17 11:42:44,512 - Layer 24: Entropy=3.7656, Variance=0.000804, Gini=0.9234, MaxUsage=0.238, ActiveExperts=17
2025-09-17 11:42:44,513 - Layer 25: Entropy=3.6562, Variance=0.000331, Gini=0.8538, MaxUsage=0.095, ActiveExperts=25
2025-09-17 11:42:44,513 - Layer 26: Entropy=3.8125, Variance=0.000537, Gini=0.9051, MaxUsage=0.119, ActiveExperts=18
2025-09-17 11:42:44,514 - Layer 27: Entropy=3.6719, Variance=0.000644, Gini=0.9182, MaxUsage=0.143, ActiveExperts=16
2025-09-17 11:42:44,515 - Layer 28: Entropy=3.6875, Variance=0.001108, Gini=0.9315, MaxUsage=0.310, ActiveExperts=17
2025-09-17 11:42:44,515 - Layer 29: Entropy=3.8125, Variance=0.000412, Gini=0.8776, MaxUsage=0.119, ActiveExperts=22
2025-09-17 11:42:44,516 - Layer 30: Entropy=3.7969, Variance=0.001072, Gini=0.9501, MaxUsage=0.238, ActiveExperts=10
2025-09-17 11:42:44,517 - Layer 31: Entropy=3.6875, Variance=0.002760, Gini=0.9714, MaxUsage=0.571, ActiveExperts=8
2025-09-17 11:42:44,517 - Layer 32: Entropy=3.6250, Variance=0.001010, Gini=0.9334, MaxUsage=0.286, ActiveExperts=16
2025-09-17 11:42:44,518 - Layer 33: Entropy=3.7969, Variance=0.000679, Gini=0.9241, MaxUsage=0.167, ActiveExperts=14
2025-09-17 11:42:44,518 - Layer 34: Entropy=3.7500, Variance=0.000590, Gini=0.9025, MaxUsage=0.167, ActiveExperts=20
2025-09-17 11:42:44,519 - Layer 35: Entropy=3.6562, Variance=0.001233, Gini=0.9423, MaxUsage=0.310, ActiveExperts=15
2025-09-17 11:42:44,520 - Layer 36: Entropy=3.6562, Variance=0.001162, Gini=0.9375, MaxUsage=0.333, ActiveExperts=15
2025-09-17 11:42:44,520 - Layer 37: Entropy=3.5625, Variance=0.000367, Gini=0.8605, MaxUsage=0.095, ActiveExperts=25
2025-09-17 11:42:44,521 - Layer 38: Entropy=3.7500, Variance=0.000412, Gini=0.8802, MaxUsage=0.095, ActiveExperts=21
2025-09-17 11:42:44,522 - Layer 39: Entropy=3.6719, Variance=0.000671, Gini=0.8958, MaxUsage=0.238, ActiveExperts=21
2025-09-17 11:42:44,522 - Layer 40: Entropy=3.6875, Variance=0.001153, Gini=0.9159, MaxUsage=0.333, ActiveExperts=20
2025-09-17 11:42:44,523 - Layer 41: Entropy=3.7188, Variance=0.000296, Gini=0.8367, MaxUsage=0.095, ActiveExperts=27
2025-09-17 11:42:44,524 - Layer 42: Entropy=3.5938, Variance=0.002063, Gini=0.9416, MaxUsage=0.500, ActiveExperts=16
2025-09-17 11:42:44,524 - Layer 43: Entropy=3.8125, Variance=0.000554, Gini=0.8910, MaxUsage=0.167, ActiveExperts=22
2025-09-17 11:42:44,525 - Layer 44: Entropy=3.8906, Variance=0.000519, Gini=0.8836, MaxUsage=0.190, ActiveExperts=22
2025-09-17 11:42:44,526 - Layer 45: Entropy=3.8750, Variance=0.000653, Gini=0.9156, MaxUsage=0.190, ActiveExperts=17
2025-09-17 11:42:44,526 - Layer 46: Entropy=3.8438, Variance=0.000688, Gini=0.9133, MaxUsage=0.214, ActiveExperts=18
2025-09-17 11:42:44,527 - Layer 47: Entropy=3.5000, Variance=0.000671, Gini=0.8988, MaxUsage=0.238, ActiveExperts=20
2025-09-17 11:42:44,527 - 
Prompt 2: A physicist wants to determine the speed a car must reach to jump over a ramp. The physicist conducts three trials. In trials two and three, the speed of the car is increased by 20 miles per hour. What is the physicist investigating when he changes the speed?
the independent (manipulated) variable
2025-09-17 11:42:44,528 - Input tokens: 71
2025-09-17 11:42:44,528 - 
=== MoE Routing Analysis for English - Prompt 2 ===
2025-09-17 11:42:45,858 - Analyzing ALL 48 MoE layers
2025-09-17 11:42:45,863 - Layer  0: Entropy=4.3438, Variance=0.000265, Gini=0.7968, MaxUsage=0.113, ActiveExperts=39
2025-09-17 11:42:45,864 - Layer  1: Entropy=4.3438, Variance=0.000446, Gini=0.8412, MaxUsage=0.197, ActiveExperts=32
2025-09-17 11:42:45,864 - Layer  2: Entropy=4.1250, Variance=0.000615, Gini=0.8663, MaxUsage=0.239, ActiveExperts=31
2025-09-17 11:42:45,865 - Layer  3: Entropy=4.2500, Variance=0.000252, Gini=0.8177, MaxUsage=0.085, ActiveExperts=33
2025-09-17 11:42:45,866 - Layer  4: Entropy=4.1562, Variance=0.001108, Gini=0.9286, MaxUsage=0.324, ActiveExperts=20
2025-09-17 11:42:45,866 - Layer  5: Entropy=4.2188, Variance=0.000309, Gini=0.8441, MaxUsage=0.085, ActiveExperts=30
2025-09-17 11:42:45,867 - Layer  6: Entropy=4.1875, Variance=0.002655, Gini=0.9755, MaxUsage=0.521, ActiveExperts=8
2025-09-17 11:42:45,868 - Layer  7: Entropy=4.1562, Variance=0.000877, Gini=0.9218, MaxUsage=0.268, ActiveExperts=20
2025-09-17 11:42:45,868 - Layer  8: Entropy=4.0938, Variance=0.000437, Gini=0.8751, MaxUsage=0.127, ActiveExperts=27
2025-09-17 11:42:45,869 - Layer  9: Entropy=4.0625, Variance=0.000549, Gini=0.8929, MaxUsage=0.169, ActiveExperts=24
2025-09-17 11:42:45,870 - Layer 10: Entropy=4.0625, Variance=0.000924, Gini=0.8896, MaxUsage=0.310, ActiveExperts=28
2025-09-17 11:42:45,870 - Layer 11: Entropy=4.0938, Variance=0.000231, Gini=0.8073, MaxUsage=0.070, ActiveExperts=34
2025-09-17 11:42:45,871 - Layer 12: Entropy=4.0312, Variance=0.001430, Gini=0.9092, MaxUsage=0.408, ActiveExperts=26
2025-09-17 11:42:45,871 - Layer 13: Entropy=3.8750, Variance=0.000259, Gini=0.8203, MaxUsage=0.070, ActiveExperts=34
2025-09-17 11:42:45,872 - Layer 14: Entropy=3.9375, Variance=0.000359, Gini=0.8511, MaxUsage=0.113, ActiveExperts=31
2025-09-17 11:42:45,873 - Layer 15: Entropy=3.8594, Variance=0.001277, Gini=0.9255, MaxUsage=0.338, ActiveExperts=23
2025-09-17 11:42:45,873 - Layer 16: Entropy=3.9062, Variance=0.000521, Gini=0.8698, MaxUsage=0.183, ActiveExperts=30
2025-09-17 11:42:45,874 - Layer 17: Entropy=3.8438, Variance=0.000421, Gini=0.8707, MaxUsage=0.127, ActiveExperts=27
2025-09-17 11:42:45,875 - Layer 18: Entropy=3.8906, Variance=0.002102, Gini=0.9653, MaxUsage=0.451, ActiveExperts=12
2025-09-17 11:42:45,875 - Layer 19: Entropy=3.9531, Variance=0.000834, Gini=0.9255, MaxUsage=0.254, ActiveExperts=18
2025-09-17 11:42:45,876 - Layer 20: Entropy=3.9688, Variance=0.000452, Gini=0.8846, MaxUsage=0.127, ActiveExperts=23
2025-09-17 11:42:45,877 - Layer 21: Entropy=3.9844, Variance=0.000443, Gini=0.8835, MaxUsage=0.127, ActiveExperts=24
2025-09-17 11:42:45,877 - Layer 22: Entropy=3.9062, Variance=0.000327, Gini=0.8467, MaxUsage=0.099, ActiveExperts=30
2025-09-17 11:42:45,878 - Layer 23: Entropy=3.8594, Variance=0.000284, Gini=0.8333, MaxUsage=0.085, ActiveExperts=32
2025-09-17 11:42:45,879 - Layer 24: Entropy=3.8750, Variance=0.001655, Gini=0.9431, MaxUsage=0.423, ActiveExperts=18
2025-09-17 11:42:45,879 - Layer 25: Entropy=3.7188, Variance=0.000218, Gini=0.7992, MaxUsage=0.056, ActiveExperts=35
2025-09-17 11:42:45,880 - Layer 26: Entropy=3.8281, Variance=0.000340, Gini=0.8474, MaxUsage=0.113, ActiveExperts=31
2025-09-17 11:42:45,881 - Layer 27: Entropy=3.7344, Variance=0.000824, Gini=0.9033, MaxUsage=0.268, ActiveExperts=25
2025-09-17 11:42:45,881 - Layer 28: Entropy=3.8438, Variance=0.000306, Gini=0.8414, MaxUsage=0.099, ActiveExperts=30
2025-09-17 11:42:45,882 - Layer 29: Entropy=3.7812, Variance=0.000277, Gini=0.8265, MaxUsage=0.099, ActiveExperts=32
2025-09-17 11:42:45,883 - Layer 30: Entropy=3.8750, Variance=0.002171, Gini=0.9684, MaxUsage=0.451, ActiveExperts=11
2025-09-17 11:42:45,883 - Layer 31: Entropy=3.9219, Variance=0.000952, Gini=0.9240, MaxUsage=0.282, ActiveExperts=21
2025-09-17 11:42:45,884 - Layer 32: Entropy=3.8906, Variance=0.000449, Gini=0.8540, MaxUsage=0.169, ActiveExperts=31
2025-09-17 11:42:45,885 - Layer 33: Entropy=3.8750, Variance=0.000502, Gini=0.8846, MaxUsage=0.169, ActiveExperts=25
2025-09-17 11:42:45,885 - Layer 34: Entropy=3.8281, Variance=0.000334, Gini=0.8329, MaxUsage=0.141, ActiveExperts=33
2025-09-17 11:42:45,886 - Layer 35: Entropy=3.8438, Variance=0.000318, Gini=0.8452, MaxUsage=0.099, ActiveExperts=30
2025-09-17 11:42:45,887 - Layer 36: Entropy=3.7812, Variance=0.000830, Gini=0.8817, MaxUsage=0.296, ActiveExperts=29
2025-09-17 11:42:45,887 - Layer 37: Entropy=3.6094, Variance=0.000212, Gini=0.7897, MaxUsage=0.056, ActiveExperts=38
2025-09-17 11:42:45,888 - Layer 38: Entropy=3.8438, Variance=0.000321, Gini=0.8280, MaxUsage=0.127, ActiveExperts=35
2025-09-17 11:42:45,888 - Layer 39: Entropy=3.7344, Variance=0.000618, Gini=0.9002, MaxUsage=0.197, ActiveExperts=23
2025-09-17 11:42:45,889 - Layer 40: Entropy=3.7969, Variance=0.000306, Gini=0.8474, MaxUsage=0.085, ActiveExperts=28
2025-09-17 11:42:45,890 - Layer 41: Entropy=3.7188, Variance=0.000265, Gini=0.8249, MaxUsage=0.070, ActiveExperts=33
2025-09-17 11:42:45,890 - Layer 42: Entropy=3.7500, Variance=0.000237, Gini=0.8062, MaxUsage=0.070, ActiveExperts=36
2025-09-17 11:42:45,891 - Layer 43: Entropy=3.8594, Variance=0.000446, Gini=0.8861, MaxUsage=0.113, ActiveExperts=23
