2025-09-17 12:29:45,833 - === ALL LAYERS MoE Analysis Started ===
2025-09-17 12:29:45,838 - Loading model and tokenizer...
2025-09-17 12:30:18,007 - 
Prompt 1: My body cast a shadow over the grass.
The sun was rising.
2025-09-17 12:30:18,027 - Input tokens: 22
2025-09-17 12:30:18,027 - 
=== MoE Routing Analysis for English - Prompt 1 ===
2025-09-17 12:30:19,516 - Analyzing ALL 48 MoE layers
2025-09-17 12:30:19,544 - Layer  0: Entropy=4.2812, Variance=0.000654, Gini=0.9169, MaxUsage=0.182, ActiveExperts=14
2025-09-17 12:30:19,544 - Layer  1: Entropy=4.2188, Variance=0.000622, Gini=0.9041, MaxUsage=0.182, ActiveExperts=16
2025-09-17 12:30:19,545 - Layer  2: Entropy=3.9531, Variance=0.000557, Gini=0.9020, MaxUsage=0.136, ActiveExperts=16
2025-09-17 12:30:19,546 - Layer  3: Entropy=3.9688, Variance=0.000524, Gini=0.8999, MaxUsage=0.136, ActiveExperts=16
2025-09-17 12:30:19,547 - Layer  4: Entropy=4.0312, Variance=0.001077, Gini=0.9325, MaxUsage=0.318, ActiveExperts=13
2025-09-17 12:30:19,547 - Layer  5: Entropy=4.0312, Variance=0.000719, Gini=0.9212, MaxUsage=0.182, ActiveExperts=14
2025-09-17 12:30:19,548 - Layer  6: Entropy=4.1875, Variance=0.001012, Gini=0.9467, MaxUsage=0.227, ActiveExperts=10
2025-09-17 12:30:19,549 - Layer  7: Entropy=3.9844, Variance=0.001598, Gini=0.9503, MaxUsage=0.409, ActiveExperts=11
2025-09-17 12:30:19,549 - Layer  8: Entropy=3.9062, Variance=0.001630, Gini=0.9553, MaxUsage=0.409, ActiveExperts=10
2025-09-17 12:30:19,550 - Layer  9: Entropy=3.8906, Variance=0.000947, Gini=0.9432, MaxUsage=0.227, ActiveExperts=10
2025-09-17 12:30:19,551 - Layer 10: Entropy=3.9062, Variance=0.001923, Gini=0.9666, MaxUsage=0.364, ActiveExperts=8
2025-09-17 12:30:19,551 - Layer 11: Entropy=4.0938, Variance=0.000654, Gini=0.9169, MaxUsage=0.182, ActiveExperts=14
2025-09-17 12:30:19,552 - Layer 12: Entropy=4.0312, Variance=0.001273, Gini=0.9538, MaxUsage=0.318, ActiveExperts=9
2025-09-17 12:30:19,552 - Layer 13: Entropy=3.8594, Variance=0.000752, Gini=0.9205, MaxUsage=0.227, ActiveExperts=14
2025-09-17 12:30:19,553 - Layer 14: Entropy=3.9062, Variance=0.000915, Gini=0.9368, MaxUsage=0.227, ActiveExperts=12
2025-09-17 12:30:19,554 - Layer 15: Entropy=3.9062, Variance=0.002151, Gini=0.9581, MaxUsage=0.500, ActiveExperts=10
2025-09-17 12:30:19,554 - Layer 16: Entropy=3.8438, Variance=0.001338, Gini=0.9567, MaxUsage=0.318, ActiveExperts=9
2025-09-17 12:30:19,555 - Layer 17: Entropy=3.9375, Variance=0.001207, Gini=0.9489, MaxUsage=0.318, ActiveExperts=10
2025-09-17 12:30:19,556 - Layer 18: Entropy=4.0625, Variance=0.001240, Gini=0.9524, MaxUsage=0.273, ActiveExperts=10
2025-09-17 12:30:19,556 - Layer 19: Entropy=3.8594, Variance=0.001565, Gini=0.9624, MaxUsage=0.364, ActiveExperts=8
2025-09-17 12:30:19,557 - Layer 20: Entropy=3.8125, Variance=0.001826, Gini=0.9673, MaxUsage=0.409, ActiveExperts=7
2025-09-17 12:30:19,558 - Layer 21: Entropy=3.8281, Variance=0.001175, Gini=0.9531, MaxUsage=0.273, ActiveExperts=9
2025-09-17 12:30:19,558 - Layer 22: Entropy=3.6875, Variance=0.001045, Gini=0.9439, MaxUsage=0.273, ActiveExperts=11
2025-09-17 12:30:19,559 - Layer 23: Entropy=3.7656, Variance=0.001338, Gini=0.9574, MaxUsage=0.273, ActiveExperts=9
2025-09-17 12:30:19,560 - Layer 24: Entropy=3.8906, Variance=0.000589, Gini=0.9027, MaxUsage=0.182, ActiveExperts=16
2025-09-17 12:30:19,560 - Layer 25: Entropy=3.7031, Variance=0.000687, Gini=0.9240, MaxUsage=0.136, ActiveExperts=13
2025-09-17 12:30:19,561 - Layer 26: Entropy=3.8125, Variance=0.000915, Gini=0.9368, MaxUsage=0.227, ActiveExperts=12
2025-09-17 12:30:19,561 - Layer 27: Entropy=3.7500, Variance=0.001630, Gini=0.9553, MaxUsage=0.409, ActiveExperts=10
2025-09-17 12:30:19,562 - Layer 28: Entropy=3.7656, Variance=0.001468, Gini=0.9545, MaxUsage=0.364, ActiveExperts=10
2025-09-17 12:30:19,563 - Layer 29: Entropy=3.7500, Variance=0.000882, Gini=0.9361, MaxUsage=0.227, ActiveExperts=12
2025-09-17 12:30:19,563 - Layer 30: Entropy=3.8438, Variance=0.001012, Gini=0.9467, MaxUsage=0.227, ActiveExperts=10
2025-09-17 12:30:19,564 - Layer 31: Entropy=3.7812, Variance=0.001435, Gini=0.9609, MaxUsage=0.273, ActiveExperts=8
2025-09-17 12:30:19,565 - Layer 32: Entropy=3.7188, Variance=0.001012, Gini=0.9332, MaxUsage=0.273, ActiveExperts=13
2025-09-17 12:30:19,565 - Layer 33: Entropy=3.6875, Variance=0.000850, Gini=0.9368, MaxUsage=0.182, ActiveExperts=11
2025-09-17 12:30:19,566 - Layer 34: Entropy=3.6719, Variance=0.001793, Gini=0.9652, MaxUsage=0.409, ActiveExperts=8
2025-09-17 12:30:19,567 - Layer 35: Entropy=3.7969, Variance=0.000980, Gini=0.9375, MaxUsage=0.273, ActiveExperts=12
2025-09-17 12:30:19,567 - Layer 36: Entropy=3.7031, Variance=0.000784, Gini=0.9261, MaxUsage=0.227, ActiveExperts=13
2025-09-17 12:30:19,568 - Layer 37: Entropy=3.5156, Variance=0.000817, Gini=0.9290, MaxUsage=0.227, ActiveExperts=13
2025-09-17 12:30:19,568 - Layer 38: Entropy=3.7188, Variance=0.000947, Gini=0.9418, MaxUsage=0.182, ActiveExperts=11
2025-09-17 12:30:19,569 - Layer 39: Entropy=3.6250, Variance=0.001630, Gini=0.9553, MaxUsage=0.409, ActiveExperts=10
2025-09-17 12:30:19,570 - Layer 40: Entropy=3.5938, Variance=0.000882, Gini=0.9375, MaxUsage=0.227, ActiveExperts=11
2025-09-17 12:30:19,570 - Layer 41: Entropy=3.6250, Variance=0.000524, Gini=0.8999, MaxUsage=0.136, ActiveExperts=16
2025-09-17 12:30:19,571 - Layer 42: Entropy=3.6719, Variance=0.000524, Gini=0.8999, MaxUsage=0.136, ActiveExperts=16
2025-09-17 12:30:19,572 - Layer 43: Entropy=3.7500, Variance=0.000719, Gini=0.9254, MaxUsage=0.182, ActiveExperts=13
2025-09-17 12:30:19,572 - Layer 44: Entropy=3.7031, Variance=0.000850, Gini=0.9339, MaxUsage=0.227, ActiveExperts=12
2025-09-17 12:30:19,573 - Layer 45: Entropy=3.7656, Variance=0.000719, Gini=0.9254, MaxUsage=0.182, ActiveExperts=13
2025-09-17 12:30:19,573 - Layer 46: Entropy=3.7656, Variance=0.000719, Gini=0.9212, MaxUsage=0.182, ActiveExperts=14
2025-09-17 12:30:19,574 - Layer 47: Entropy=3.4375, Variance=0.000719, Gini=0.9254, MaxUsage=0.182, ActiveExperts=13
2025-09-17 12:30:19,574 - 
