2025-09-17 12:21:05,775 - === ALL LAYERS MoE Analysis Started ===
2025-09-17 12:21:05,784 - Loading model and tokenizer...
2025-09-17 12:21:37,639 - 
Prompt 1: Let p = (1, 2, 5, 4)(2, 3) in S_5 . Find the index of <p> in S_5.
24
2025-09-17 12:21:37,658 - Input tokens: 47
2025-09-17 12:21:37,658 - 
=== MoE Routing Analysis for English - Prompt 1 ===
2025-09-17 12:21:39,269 - Analyzing ALL 48 MoE layers
2025-09-17 12:21:39,306 - Layer  0: Entropy=4.3125, Variance=0.000284, Gini=0.8270, MaxUsage=0.085, ActiveExperts=30
2025-09-17 12:21:39,307 - Layer  1: Entropy=4.3438, Variance=0.000455, Gini=0.8835, MaxUsage=0.149, ActiveExperts=22
2025-09-17 12:21:39,308 - Layer  2: Entropy=4.1875, Variance=0.000798, Gini=0.9151, MaxUsage=0.234, ActiveExperts=20
2025-09-17 12:21:39,309 - Layer  3: Entropy=4.2188, Variance=0.000462, Gini=0.8815, MaxUsage=0.128, ActiveExperts=23
2025-09-17 12:21:39,309 - Layer  4: Entropy=4.0938, Variance=0.001867, Gini=0.9603, MaxUsage=0.362, ActiveExperts=12
2025-09-17 12:21:39,310 - Layer  5: Entropy=4.0938, Variance=0.001297, Gini=0.9463, MaxUsage=0.340, ActiveExperts=14
2025-09-17 12:21:39,310 - Layer  6: Entropy=4.0625, Variance=0.001125, Gini=0.9460, MaxUsage=0.298, ActiveExperts=13
2025-09-17 12:21:39,311 - Layer  7: Entropy=3.9375, Variance=0.001674, Gini=0.9596, MaxUsage=0.404, ActiveExperts=11
2025-09-17 12:21:39,312 - Layer  8: Entropy=3.8750, Variance=0.001054, Gini=0.9460, MaxUsage=0.234, ActiveExperts=13
2025-09-17 12:21:39,312 - Layer  9: Entropy=3.9531, Variance=0.000769, Gini=0.9310, MaxUsage=0.170, ActiveExperts=14
2025-09-17 12:21:39,313 - Layer 10: Entropy=4.0625, Variance=0.000427, Gini=0.8715, MaxUsage=0.128, ActiveExperts=24
2025-09-17 12:21:39,314 - Layer 11: Entropy=4.0625, Variance=0.000755, Gini=0.9230, MaxUsage=0.213, ActiveExperts=17
2025-09-17 12:21:39,314 - Layer 12: Entropy=3.9688, Variance=0.000812, Gini=0.9194, MaxUsage=0.255, ActiveExperts=18
2025-09-17 12:21:39,315 - Layer 13: Entropy=3.8281, Variance=0.000776, Gini=0.9084, MaxUsage=0.213, ActiveExperts=21
2025-09-17 12:21:39,316 - Layer 14: Entropy=3.7812, Variance=0.001047, Gini=0.9360, MaxUsage=0.277, ActiveExperts=16
2025-09-17 12:21:39,316 - Layer 15: Entropy=3.7656, Variance=0.000826, Gini=0.9234, MaxUsage=0.213, ActiveExperts=17
2025-09-17 12:21:39,317 - Layer 16: Entropy=3.6875, Variance=0.001453, Gini=0.9540, MaxUsage=0.298, ActiveExperts=13
2025-09-17 12:21:39,317 - Layer 17: Entropy=3.7812, Variance=0.000847, Gini=0.9327, MaxUsage=0.213, ActiveExperts=15
2025-09-17 12:21:39,318 - Layer 18: Entropy=3.8594, Variance=0.001225, Gini=0.9500, MaxUsage=0.298, ActiveExperts=13
2025-09-17 12:21:39,319 - Layer 19: Entropy=3.7188, Variance=0.001268, Gini=0.9490, MaxUsage=0.277, ActiveExperts=12
2025-09-17 12:21:39,319 - Layer 20: Entropy=3.6562, Variance=0.001111, Gini=0.9453, MaxUsage=0.234, ActiveExperts=14
2025-09-17 12:21:39,320 - Layer 21: Entropy=3.7656, Variance=0.000876, Gini=0.9357, MaxUsage=0.213, ActiveExperts=15
2025-09-17 12:21:39,321 - Layer 22: Entropy=3.7969, Variance=0.000420, Gini=0.8698, MaxUsage=0.128, ActiveExperts=25
2025-09-17 12:21:39,321 - Layer 23: Entropy=3.7188, Variance=0.000477, Gini=0.8858, MaxUsage=0.128, ActiveExperts=23
2025-09-17 12:21:39,322 - Layer 24: Entropy=3.7500, Variance=0.000584, Gini=0.9008, MaxUsage=0.170, ActiveExperts=21
2025-09-17 12:21:39,322 - Layer 25: Entropy=3.6094, Variance=0.000569, Gini=0.8998, MaxUsage=0.170, ActiveExperts=21
2025-09-17 12:21:39,323 - Layer 26: Entropy=3.5469, Variance=0.000976, Gini=0.9350, MaxUsage=0.234, ActiveExperts=16
2025-09-17 12:21:39,324 - Layer 27: Entropy=3.5469, Variance=0.000562, Gini=0.9064, MaxUsage=0.149, ActiveExperts=18
2025-09-17 12:21:39,324 - Layer 28: Entropy=3.5156, Variance=0.001518, Gini=0.9573, MaxUsage=0.319, ActiveExperts=12
2025-09-17 12:21:39,325 - Layer 29: Entropy=3.6719, Variance=0.000619, Gini=0.9141, MaxUsage=0.149, ActiveExperts=18
2025-09-17 12:21:39,326 - Layer 30: Entropy=3.7344, Variance=0.000947, Gini=0.9290, MaxUsage=0.255, ActiveExperts=17
2025-09-17 12:21:39,326 - Layer 31: Entropy=3.6719, Variance=0.001019, Gini=0.9453, MaxUsage=0.213, ActiveExperts=12
2025-09-17 12:21:39,327 - Layer 32: Entropy=3.5156, Variance=0.000790, Gini=0.9264, MaxUsage=0.213, ActiveExperts=16
2025-09-17 12:21:39,327 - Layer 33: Entropy=3.5781, Variance=0.000605, Gini=0.9087, MaxUsage=0.170, ActiveExperts=19
2025-09-17 12:21:39,328 - Layer 34: Entropy=3.6719, Variance=0.000427, Gini=0.8679, MaxUsage=0.149, ActiveExperts=25
2025-09-17 12:21:39,329 - Layer 35: Entropy=3.5625, Variance=0.000755, Gini=0.9194, MaxUsage=0.213, ActiveExperts=18
2025-09-17 12:21:39,329 - Layer 36: Entropy=3.5625, Variance=0.000470, Gini=0.8911, MaxUsage=0.128, ActiveExperts=21
2025-09-17 12:21:39,330 - Layer 37: Entropy=3.5156, Variance=0.000705, Gini=0.9197, MaxUsage=0.170, ActiveExperts=18
2025-09-17 12:21:39,331 - Layer 38: Entropy=3.7188, Variance=0.000505, Gini=0.8994, MaxUsage=0.128, ActiveExperts=19
2025-09-17 12:21:39,331 - Layer 39: Entropy=3.5625, Variance=0.000577, Gini=0.8961, MaxUsage=0.191, ActiveExperts=21
2025-09-17 12:21:39,332 - Layer 40: Entropy=3.6250, Variance=0.001282, Gini=0.9510, MaxUsage=0.277, ActiveExperts=13
2025-09-17 12:21:39,332 - Layer 41: Entropy=3.7031, Variance=0.000541, Gini=0.8998, MaxUsage=0.149, ActiveExperts=20
2025-09-17 12:21:39,333 - Layer 42: Entropy=3.8125, Variance=0.000954, Gini=0.9204, MaxUsage=0.298, ActiveExperts=19
2025-09-17 12:21:39,334 - Layer 43: Entropy=3.8906, Variance=0.000562, Gini=0.8971, MaxUsage=0.191, ActiveExperts=20
2025-09-17 12:21:39,334 - Layer 44: Entropy=3.8125, Variance=0.000683, Gini=0.9187, MaxUsage=0.170, ActiveExperts=18
2025-09-17 12:21:39,335 - Layer 45: Entropy=3.9844, Variance=0.001118, Gini=0.9187, MaxUsage=0.340, ActiveExperts=20
2025-09-17 12:21:39,336 - Layer 46: Entropy=3.9375, Variance=0.000520, Gini=0.8961, MaxUsage=0.149, ActiveExperts=21
2025-09-17 12:21:39,336 - Layer 47: Entropy=3.7344, Variance=0.000612, Gini=0.9077, MaxUsage=0.149, ActiveExperts=20
2025-09-17 12:21:39,337 - 
Prompt 2: Statement 1 | A factor group of a non-Abelian group is non-Abelian. Statement 2 | If K is a normal subgroup of H and H is a normal subgroup of G, then K is a normal subgroup of G.
False, False
2025-09-17 12:21:39,337 - Input tokens: 61
2025-09-17 12:21:39,337 - 
=== MoE Routing Analysis for English - Prompt 2 ===
2025-09-17 12:21:40,493 - Analyzing ALL 48 MoE layers
2025-09-17 12:21:40,497 - Layer  0: Entropy=4.3438, Variance=0.000266, Gini=0.8203, MaxUsage=0.098, ActiveExperts=31
2025-09-17 12:21:40,498 - Layer  1: Entropy=4.3438, Variance=0.000288, Gini=0.8311, MaxUsage=0.098, ActiveExperts=30
2025-09-17 12:21:40,499 - Layer  2: Entropy=4.1875, Variance=0.000749, Gini=0.9169, MaxUsage=0.230, ActiveExperts=20
2025-09-17 12:21:40,499 - Layer  3: Entropy=4.2188, Variance=0.000520, Gini=0.8987, MaxUsage=0.148, ActiveExperts=21
2025-09-17 12:21:40,500 - Layer  4: Entropy=4.1562, Variance=0.000880, Gini=0.9192, MaxUsage=0.262, ActiveExperts=21
2025-09-17 12:21:40,501 - Layer  5: Entropy=4.2188, Variance=0.000736, Gini=0.8823, MaxUsage=0.262, ActiveExperts=27
2025-09-17 12:21:40,501 - Layer  6: Entropy=4.1562, Variance=0.001045, Gini=0.9486, MaxUsage=0.197, ActiveExperts=12
2025-09-17 12:21:40,502 - Layer  7: Entropy=4.0312, Variance=0.001418, Gini=0.9474, MaxUsage=0.311, ActiveExperts=16
2025-09-17 12:21:40,503 - Layer  8: Entropy=3.9531, Variance=0.000444, Gini=0.8818, MaxUsage=0.148, ActiveExperts=23
2025-09-17 12:21:40,503 - Layer  9: Entropy=4.0312, Variance=0.000711, Gini=0.9130, MaxUsage=0.197, ActiveExperts=21
2025-09-17 12:21:40,504 - Layer 10: Entropy=4.0938, Variance=0.000575, Gini=0.8920, MaxUsage=0.180, ActiveExperts=25
2025-09-17 12:21:40,504 - Layer 11: Entropy=4.0938, Variance=0.000491, Gini=0.8608, MaxUsage=0.180, ActiveExperts=30
2025-09-17 12:21:40,505 - Layer 12: Entropy=4.0625, Variance=0.000732, Gini=0.9028, MaxUsage=0.246, ActiveExperts=23
2025-09-17 12:21:40,506 - Layer 13: Entropy=3.9688, Variance=0.000330, Gini=0.8418, MaxUsage=0.098, ActiveExperts=31
2025-09-17 12:21:40,506 - Layer 14: Entropy=4.0625, Variance=0.000436, Gini=0.8692, MaxUsage=0.164, ActiveExperts=26
2025-09-17 12:21:40,507 - Layer 15: Entropy=3.9844, Variance=0.000872, Gini=0.9159, MaxUsage=0.262, ActiveExperts=21
2025-09-17 12:21:40,508 - Layer 16: Entropy=3.9062, Variance=0.000499, Gini=0.8838, MaxUsage=0.164, ActiveExperts=25
2025-09-17 12:21:40,508 - Layer 17: Entropy=3.9219, Variance=0.000681, Gini=0.9174, MaxUsage=0.180, ActiveExperts=19
2025-09-17 12:21:40,509 - Layer 18: Entropy=3.9844, Variance=0.000724, Gini=0.9276, MaxUsage=0.148, ActiveExperts=16
2025-09-17 12:21:40,509 - Layer 19: Entropy=3.8906, Variance=0.000711, Gini=0.9225, MaxUsage=0.180, ActiveExperts=17
2025-09-17 12:21:40,510 - Layer 20: Entropy=3.8281, Variance=0.000698, Gini=0.9171, MaxUsage=0.213, ActiveExperts=18
2025-09-17 12:21:40,511 - Layer 21: Entropy=3.9062, Variance=0.000605, Gini=0.9102, MaxUsage=0.164, ActiveExperts=20
2025-09-17 12:21:40,511 - Layer 22: Entropy=3.8906, Variance=0.000702, Gini=0.8838, MaxUsage=0.262, ActiveExperts=25
2025-09-17 12:21:40,512 - Layer 23: Entropy=3.8281, Variance=0.000749, Gini=0.9228, MaxUsage=0.213, ActiveExperts=18
2025-09-17 12:21:40,513 - Layer 24: Entropy=3.8750, Variance=0.000427, Gini=0.8470, MaxUsage=0.180, ActiveExperts=30
2025-09-17 12:21:40,513 - Layer 25: Entropy=3.7188, Variance=0.000482, Gini=0.8913, MaxUsage=0.148, ActiveExperts=22
2025-09-17 12:21:40,514 - Layer 26: Entropy=3.9062, Variance=0.000419, Gini=0.8774, MaxUsage=0.131, ActiveExperts=24
2025-09-17 12:21:40,514 - Layer 27: Entropy=3.7812, Variance=0.000448, Gini=0.8838, MaxUsage=0.115, ActiveExperts=24
2025-09-17 12:21:40,515 - Layer 28: Entropy=3.7812, Variance=0.000537, Gini=0.8918, MaxUsage=0.180, ActiveExperts=23
2025-09-17 12:21:40,516 - Layer 29: Entropy=3.7656, Variance=0.000597, Gini=0.9100, MaxUsage=0.164, ActiveExperts=20
2025-09-17 12:21:40,516 - Layer 30: Entropy=3.8906, Variance=0.001358, Gini=0.9361, MaxUsage=0.377, ActiveExperts=18
2025-09-17 12:21:40,517 - Layer 31: Entropy=3.7188, Variance=0.000673, Gini=0.9179, MaxUsage=0.180, ActiveExperts=17
2025-09-17 12:21:40,517 - Layer 32: Entropy=3.5938, Variance=0.000559, Gini=0.8923, MaxUsage=0.197, ActiveExperts=23
2025-09-17 12:21:40,518 - Layer 33: Entropy=3.7188, Variance=0.000618, Gini=0.9025, MaxUsage=0.197, ActiveExperts=22
2025-09-17 12:21:40,519 - Layer 34: Entropy=3.7031, Variance=0.000931, Gini=0.9061, MaxUsage=0.311, ActiveExperts=22
2025-09-17 12:21:40,519 - Layer 35: Entropy=3.6094, Variance=0.000753, Gini=0.9253, MaxUsage=0.197, ActiveExperts=17
2025-09-17 12:21:40,520 - Layer 36: Entropy=3.7188, Variance=0.000372, Gini=0.8657, MaxUsage=0.115, ActiveExperts=26
2025-09-17 12:21:40,521 - Layer 37: Entropy=3.6406, Variance=0.000601, Gini=0.9069, MaxUsage=0.164, ActiveExperts=20
2025-09-17 12:21:40,521 - Layer 38: Entropy=3.8438, Variance=0.000355, Gini=0.8644, MaxUsage=0.098, ActiveExperts=23
2025-09-17 12:21:40,522 - Layer 39: Entropy=3.7500, Variance=0.000508, Gini=0.8936, MaxUsage=0.164, ActiveExperts=22
2025-09-17 12:21:40,522 - Layer 40: Entropy=3.8125, Variance=0.000537, Gini=0.8841, MaxUsage=0.180, ActiveExperts=25
2025-09-17 12:21:40,523 - Layer 41: Entropy=3.7656, Variance=0.000745, Gini=0.9000, MaxUsage=0.262, ActiveExperts=21
2025-09-17 12:21:40,524 - Layer 42: Entropy=3.8438, Variance=0.000791, Gini=0.9041, MaxUsage=0.262, ActiveExperts=22
2025-09-17 12:21:40,524 - Layer 43: Entropy=3.9219, Variance=0.001270, Gini=0.9371, MaxUsage=0.361, ActiveExperts=17
2025-09-17 12:21:40,525 - Layer 44: Entropy=4.0000, Variance=0.000647, Gini=0.9115, MaxUsage=0.164, ActiveExperts=21
2025-09-17 12:21:40,526 - Layer 45: Entropy=4.0312, Variance=0.001189, Gini=0.9269, MaxUsage=0.344, ActiveExperts=19
2025-09-17 12:21:40,526 - Layer 46: Entropy=4.0938, Variance=0.000364, Gini=0.8662, MaxUsage=0.082, ActiveExperts=26
2025-09-17 12:21:40,527 - Layer 47: Entropy=3.8438, Variance=0.000487, Gini=0.8941, MaxUsage=0.131, ActiveExperts=22
2025-09-17 12:21:40,527 - 
Prompt 3: Statement 1 | Every homomorphic image of a group G is isomorphic to a factor group of G. Statement 2 | The homomorphic images of a group G are the same (up to isomorphism) as the factor groups of G.
True, True
2025-09-17 12:21:40,528 - Input tokens: 62
2025-09-17 12:21:40,528 - 
=== MoE Routing Analysis for English - Prompt 3 ===
2025-09-17 12:21:41,687 - Analyzing ALL 48 MoE layers
2025-09-17 12:21:41,691 - Layer  0: Entropy=4.3125, Variance=0.000328, Gini=0.8380, MaxUsage=0.129, ActiveExperts=31
2025-09-17 12:21:41,692 - Layer  1: Entropy=4.3125, Variance=0.000340, Gini=0.8443, MaxUsage=0.129, ActiveExperts=30
2025-09-17 12:21:41,692 - Layer  2: Entropy=4.1875, Variance=0.001028, Gini=0.9073, MaxUsage=0.323, ActiveExperts=24
2025-09-17 12:21:41,693 - Layer  3: Entropy=4.1875, Variance=0.000315, Gini=0.8458, MaxUsage=0.097, ActiveExperts=29
2025-09-17 12:21:41,694 - Layer  4: Entropy=4.1250, Variance=0.000676, Gini=0.8979, MaxUsage=0.210, ActiveExperts=25
