2025-09-10 18:58:47,464 - === ALL LAYERS MoE Analysis Started ===
2025-09-10 18:58:47,464 - Loading model and tokenizer...
2025-09-10 18:59:20,631 - 
Prompt 1: Explain how neural networks work in machine learning.
2025-09-10 18:59:20,656 - Input tokens: 18
2025-09-10 18:59:20,656 - 
=== MoE Routing Analysis for English - Prompt 1 ===
2025-09-10 18:59:22,280 - Analyzing ALL 48 MoE layers
2025-09-10 18:59:22,320 - Layer  0: Entropy=4.1875, Variance=0.000425, Gini=0.8741, MaxUsage=0.111, ActiveExperts=17
2025-09-10 18:59:22,321 - Layer  1: Entropy=4.0938, Variance=0.000473, Gini=0.8872, MaxUsage=0.111, ActiveExperts=16
2025-09-10 18:59:22,322 - Layer  2: Entropy=3.9531, Variance=0.000716, Gini=0.9123, MaxUsage=0.222, ActiveExperts=14
2025-09-10 18:59:22,322 - Layer  3: Entropy=4.0625, Variance=0.000911, Gini=0.9384, MaxUsage=0.222, ActiveExperts=11
2025-09-10 18:59:22,323 - Layer  4: Entropy=4.1562, Variance=0.000813, Gini=0.9227, MaxUsage=0.222, ActiveExperts=13
2025-09-10 18:59:22,324 - Layer  5: Entropy=4.1250, Variance=0.000911, Gini=0.9401, MaxUsage=0.222, ActiveExperts=10
2025-09-10 18:59:22,324 - Layer  6: Entropy=4.3125, Variance=0.002855, Gini=0.9792, MaxUsage=0.500, ActiveExperts=5
2025-09-10 18:59:22,325 - Layer  7: Entropy=4.2812, Variance=0.000911, Gini=0.9384, MaxUsage=0.222, ActiveExperts=11
2025-09-10 18:59:22,326 - Layer  8: Entropy=4.1562, Variance=0.000716, Gini=0.9262, MaxUsage=0.167, ActiveExperts=12
2025-09-10 18:59:22,326 - Layer  9: Entropy=4.0625, Variance=0.001834, Gini=0.9679, MaxUsage=0.389, ActiveExperts=7
2025-09-10 18:59:22,327 - Layer 10: Entropy=4.1250, Variance=0.000813, Gini=0.9349, MaxUsage=0.167, ActiveExperts=11
2025-09-10 18:59:22,327 - Layer 11: Entropy=4.0625, Variance=0.000716, Gini=0.9210, MaxUsage=0.167, ActiveExperts=13
2025-09-10 18:59:22,328 - Layer 12: Entropy=4.1875, Variance=0.000570, Gini=0.9080, MaxUsage=0.111, ActiveExperts=14
